original_track_id,filtered_track_id,frame_index,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_center_x,bbox_center_y,bottom_center_x,bottom_center_y,confidence,court_region_score,size_score,duration_score,final_player_score,keep,rejection_reason
unknown_4,,123,1727.276,212.616,1828.75,343.791,1778.013,278.204,1778.013,343.791,0.437,0.45,0.2006,1.0,0.5469,False,lower_ranked_player_candidate
unknown_6,,123,1024.619,843.45,1138.875,1005.948,1081.747,924.699,1081.7469999999998,1005.948,0.3793,0.45,0.2798,1.0,0.5427,False,lower_ranked_player_candidate
unknown_5,,123,2520.38,222.299,2600.206,356.169,2560.293,289.234,2560.293,356.169,0.3601,0.45,0.161,1.0,0.5152,False,lower_ranked_player_candidate
unknown_7,,123,2141.552,187.583,2213.457,346.299,2177.505,266.941,2177.5045,346.299,0.3374,0.45,0.172,1.0,0.5099,False,lower_ranked_player_candidate
unknown_10,,123,392.837,1049.066,579.191,1302.002,486.014,1175.534,486.014,1302.002,0.2831,0.05,0.7104,1.0,0.4375,False,far_outside_court_region
unknown_11,,123,406.305,1054.437,524.389,1284.48,465.347,1169.458,465.347,1284.48,0.2682,0.05,0.4094,1.0,0.3785,False,far_outside_court_region
unknown_8,,123,1410.872,168.38,1472.219,332.898,1441.546,250.639,1441.5455000000002,332.898,0.2681,0.45,0.1521,1.0,0.4842,False,lower_ranked_player_candidate
unknown_9,,123,1.691,1464.847,275.973,1743.233,138.832,1604.04,138.832,1743.233,0.2599,0.05,1.0,1.0,0.4822,False,far_outside_court_region
unknown_12,,123,1917.507,228.544,2004.223,330.982,1960.865,279.763,1960.865,330.982,0.2516,0.45,0.1339,1.0,0.4756,False,lower_ranked_player_candidate
player_2,player_a,124,2244.109,409.47,2327.218,542.431,2285.664,475.95,2285.6634999999997,542.431,0.7338,1.0,0.1665,1.0,0.8448,True,
player_1,player_b,124,1288.639,1546.146,1464.781,1927.496,1376.71,1736.821,1376.71,1927.496,0.7245,0.45,1.0,1.0,0.7828,True,
unknown_3,,124,587.577,827.17,854.274,1088.458,720.925,957.814,720.9255,1088.458,0.4649,0.05,1.0,1.0,0.5478,False,far_outside_court_region
unknown_4,,124,1726.157,209.252,1830.567,342.384,1778.362,275.818,1778.362,342.384,0.4389,0.45,0.2095,1.0,0.5492,False,lower_ranked_player_candidate
unknown_6,,124,1024.544,843.787,1139.294,1005.695,1081.919,924.741,1081.919,1005.695,0.3907,0.45,0.28,1.0,0.5464,False,lower_ranked_player_candidate
unknown_5,,124,2521.846,223.592,2600.178,355.847,2561.012,289.72,2561.0119999999997,355.847,0.3543,0.45,0.1561,1.0,0.5125,False,lower_ranked_player_candidate
unknown_7,,124,2141.447,187.972,2213.475,345.856,2177.461,266.914,2177.4610000000002,345.856,0.3475,0.45,0.1714,1.0,0.513,False,lower_ranked_player_candidate
unknown_10,,124,392.907,1049.907,578.632,1303.321,485.77,1176.614,485.7695,1303.321,0.2847,0.05,0.7093,1.0,0.4378,False,far_outside_court_region
unknown_8,,124,1410.814,168.148,1472.382,333.14,1441.598,250.644,1441.598,333.14,0.28,0.45,0.1531,1.0,0.4882,False,lower_ranked_player_candidate
unknown_11,,124,406.354,1054.833,524.12,1284.488,465.237,1169.66,465.23699999999997,1284.488,0.2747,0.05,0.4076,1.0,0.3803,False,far_outside_court_region
unknown_12,,124,1917.448,227.886,2004.272,330.958,1960.86,279.422,1960.8600000000001,330.958,0.2733,0.45,0.1349,1.0,0.4827,False,lower_ranked_player_candidate
unknown_9,,124,1.709,1465.076,275.913,1744.162,138.811,1604.619,138.811,1744.162,0.2608,0.05,1.0,1.0,0.4825,False,far_outside_court_region
player_2,player_a,125,2244.95,408.201,2325.948,540.875,2285.449,474.538,2285.4489999999996,540.875,0.7508,1.0,0.162,1.0,0.8492,True,
player_1,player_b,125,1287.408,1545.181,1467.31,1927.822,1377.359,1736.502,1377.359,1927.822,0.6909,0.45,1.0,1.0,0.7721,True,
unknown_3,,125,587.636,827.444,853.846,1088.372,720.741,957.908,720.741,1088.372,0.4669,0.05,1.0,1.0,0.5484,False,far_outside_court_region
unknown_4,,125,1725.821,209.494,1830.601,342.518,1778.211,276.006,1778.211,342.518,0.43,0.45,0.2101,1.0,0.5464,False,lower_ranked_player_candidate
unknown_6,,125,1024.58,844.191,1139.0,1005.742,1081.79,924.967,1081.79,1005.742,0.3906,0.45,0.2786,1.0,0.5461,False,lower_ranked_player_candidate
unknown_7,,125,2141.448,187.99,2213.281,346.368,2177.365,267.179,2177.3644999999997,346.368,0.3621,0.45,0.1715,1.0,0.5177,False,lower_ranked_player_candidate
unknown_5,,125,2522.782,224.388,2599.786,356.089,2561.284,290.238,2561.284,356.089,0.3438,0.45,0.1528,1.0,0.5085,False,lower_ranked_player_candidate
unknown_8,,125,1410.827,168.402,1472.26,333.132,1441.544,250.767,1441.5435,333.132,0.2791,0.45,0.1525,1.0,0.4878,False,lower_ranked_player_candidate
unknown_10,,125,392.168,1049.691,580.665,1304.001,486.416,1176.846,486.4165,1304.001,0.2717,0.05,0.7224,1.0,0.436,False,far_outside_court_region
unknown_11,,125,406.421,1054.689,524.411,1284.766,465.416,1169.728,465.41599999999994,1284.766,0.2705,0.05,0.4091,1.0,0.3792,False,far_outside_court_region
unknown_12,,125,1917.231,227.822,2003.982,331.171,1960.606,279.496,1960.6064999999999,331.171,0.2687,0.45,0.1351,1.0,0.4813,False,lower_ranked_player_candidate
unknown_9,,125,1.752,1465.025,276.096,1744.625,138.924,1604.825,138.924,1744.625,0.2582,0.05,1.0,1.0,0.4816,False,far_outside_court_region
player_2,player_a,126,2245.021,408.208,2325.831,540.861,2285.426,474.535,2285.4260000000004,540.861,0.7508,1.0,0.1616,1.0,0.8491,True,
player_1,player_b,126,1287.404,1544.869,1467.264,1927.829,1377.334,1736.349,1377.3339999999998,1927.829,0.6908,0.45,1.0,1.0,0.7721,True,
unknown_3,,126,587.759,827.797,854.27,1088.405,721.014,958.101,721.0145,1088.405,0.4599,0.05,1.0,1.0,0.5462,False,far_outside_court_region
unknown_4,,126,1726.002,209.517,1830.566,342.698,1778.284,276.107,1778.284,342.698,0.4292,0.45,0.2099,1.0,0.5461,False,lower_ranked_player_candidate
unknown_6,,126,1024.572,843.734,1139.097,1005.765,1081.835,924.749,1081.8345,1005.765,0.3845,0.45,0.2797,1.0,0.5444,False,lower_ranked_player_candidate
unknown_7,,126,2141.392,188.026,2213.264,346.366,2177.328,267.196,2177.328,346.366,0.3636,0.45,0.1715,1.0,0.5182,False,lower_ranked_player_candidate
unknown_5,,126,2522.802,224.37,2599.775,356.115,2561.288,290.243,2561.2885,356.115,0.344,0.45,0.1528,1.0,0.5086,False,lower_ranked_player_candidate
unknown_8,,126,1410.828,168.382,1472.261,333.162,1441.544,250.772,1441.5445,333.162,0.2809,0.45,0.1526,1.0,0.4883,False,lower_ranked_player_candidate
unknown_10,,126,391.749,1049.429,582.053,1304.433,486.901,1176.931,486.901,1304.433,0.2704,0.05,0.7313,1.0,0.4372,False,far_outside_court_region
unknown_9,,126,1.772,1464.57,276.166,1744.346,138.969,1604.458,138.969,1744.346,0.268,0.05,1.0,1.0,0.4848,False,far_outside_court_region
unknown_11,,126,405.792,1054.52,524.315,1285.18,465.053,1169.85,465.0535,1285.18,0.268,0.05,0.412,1.0,0.3789,False,far_outside_court_region
unknown_12,,126,1917.248,227.851,2004.034,331.223,1960.641,279.537,1960.641,331.223,0.2676,0.45,0.1352,1.0,0.481,False,lower_ranked_player_candidate
player_2,player_a,127,2240.554,405.301,2323.213,539.5,2281.884,472.401,2281.8835,539.5,0.7467,0.75,0.1672,1.0,0.754,True,
player_1,player_b,127,1286.231,1546.247,1469.466,1927.688,1377.849,1736.967,1377.8485,1927.688,0.6885,0.45,1.0,1.0,0.7713,True,
unknown_3,,127,588.271,827.04,853.941,1088.366,721.106,957.703,721.106,1088.366,0.4548,0.05,1.0,1.0,0.5445,False,far_outside_court_region
unknown_4,,127,1727.19,207.529,1830.642,342.296,1778.916,274.912,1778.9160000000002,342.296,0.4379,0.45,0.2101,1.0,0.5489,False,lower_ranked_player_candidate
unknown_6,,127,1023.818,843.089,1139.473,1005.551,1081.645,924.32,1081.6455,1005.551,0.3785,0.45,0.2832,1.0,0.5431,False,lower_ranked_player_candidate
unknown_7,,127,2143.14,186.361,2209.96,344.761,2176.55,265.561,2176.55,344.761,0.3411,0.45,0.1595,1.0,0.5089,False,lower_ranked_player_candidate
