frame_index,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_center_x,bbox_center_y,confidence,class_name,player_side_guess,projected_x,projected_y
124,unknown_12,1917.448,227.886,2004.272,330.958,1960.86,279.422,0.2733,person,far_player,105.163,-294.944
124,unknown_9,1.709,1465.076,275.913,1744.162,138.811,1604.619,0.2608,person,near_player,-131.984,795.0
125,player_2,2244.95,408.201,2325.948,540.875,2285.449,474.538,0.7508,person,far_player,213.586,0.539
125,player_1,1287.408,1545.181,1467.31,1927.822,1377.359,1736.502,0.6909,person,near_player,67.49,843.611
125,unknown_3,587.636,827.444,853.846,1088.372,720.741,957.908,0.4669,person,far_player,-120.781,496.033
125,unknown_4,1725.821,209.494,1830.601,342.518,1778.211,276.006,0.43,person,far_player,43.039,-270.398
125,unknown_6,1024.58,844.191,1139.0,1005.742,1081.79,924.967,0.3906,person,far_player,-56.539,439.329
125,unknown_7,2141.448,187.99,2213.281,346.368,2177.365,267.179,0.3621,person,far_player,180.893,-274.968
125,unknown_5,2522.782,224.388,2599.786,356.089,2561.284,290.238,0.3438,person,far_player,313.021,-269.349
125,unknown_8,1410.827,168.402,1472.26,333.132,1441.544,250.767,0.2791,person,far_player,-74.451,-276.789
125,unknown_10,392.168,1049.691,580.665,1304.001,486.416,1176.846,0.2717,person,near_player,-133.199,615.287
125,unknown_11,406.421,1054.689,524.411,1284.766,465.416,1169.728,0.2705,person,near_player,-140.03,606.074
125,unknown_12,1917.231,227.822,2003.982,331.171,1960.606,279.496,0.2687,person,far_player,105.09,-294.574
125,unknown_9,1.752,1465.025,276.096,1744.625,138.924,1604.825,0.2582,person,near_player,-131.91,795.153
126,player_2,2245.021,408.208,2325.831,540.861,2285.426,474.535,0.7508,person,far_player,213.579,0.523
126,player_1,1287.404,1544.869,1467.264,1927.829,1377.334,1736.349,0.6908,person,near_player,67.487,843.613
126,unknown_3,587.759,827.797,854.27,1088.405,721.014,958.101,0.4599,person,far_player,-120.719,496.049
126,unknown_4,1726.002,209.517,1830.566,342.698,1778.284,276.107,0.4292,person,far_player,43.087,-270.1
126,unknown_6,1024.572,843.734,1139.097,1005.765,1081.835,924.749,0.3845,person,far_player,-56.526,439.344
126,unknown_7,2141.392,188.026,2213.264,346.366,2177.328,267.196,0.3636,person,far_player,180.88,-274.971
126,unknown_5,2522.802,224.37,2599.775,356.115,2561.288,290.243,0.344,person,far_player,313.02,-269.306
126,unknown_8,1410.828,168.382,1472.261,333.162,1441.544,250.772,0.2809,person,far_player,-74.445,-276.739
126,unknown_10,391.749,1049.429,582.053,1304.433,486.901,1176.931,0.2704,person,near_player,-133.045,615.491
126,unknown_9,1.772,1464.57,276.166,1744.346,138.969,1604.458,0.268,person,near_player,-131.937,795.06
126,unknown_11,405.792,1054.52,524.315,1285.18,465.053,1169.85,0.268,person,near_player,-140.034,606.282
126,unknown_12,1917.248,227.851,2004.034,331.223,1960.641,279.537,0.2676,person,far_player,105.106,-294.486
127,player_2,2240.554,405.301,2323.213,539.5,2281.884,472.401,0.7467,person,far_player,212.557,-1.071
127,player_1,1286.231,1546.247,1469.466,1927.688,1377.849,1736.967,0.6885,person,near_player,67.555,843.568
127,unknown_3,588.271,827.04,853.941,1088.366,721.106,957.703,0.4548,person,far_player,-120.706,496.025
127,unknown_4,1727.19,207.529,1830.642,342.296,1778.916,274.912,0.4379,person,far_player,43.255,-270.787
127,unknown_6,1023.818,843.089,1139.473,1005.551,1081.645,924.32,0.3785,person,far_player,-56.596,439.205
127,unknown_7,2143.14,186.361,2209.96,344.761,2176.55,265.561,0.3411,person,far_player,180.604,-277.632
127,unknown_5,2525.135,224.214,2599.64,355.637,2562.388,289.926,0.3344,person,far_player,313.453,-270.128
127,unknown_8,1410.484,168.316,1472.37,333.311,1441.427,250.814,0.2848,person,far_player,-74.451,-276.486
127,unknown_11,405.771,1054.059,524.704,1287.225,465.238,1170.642,0.2816,person,near_player,-139.684,607.29
127,unknown_10,400.81,1040.573,580.164,1289.064,490.487,1164.819,0.2802,person,near_player,-134.691,607.942
127,unknown_12,1917.903,227.943,2003.693,330.945,1960.798,279.444,0.2592,person,far_player,105.141,-294.965
128,player_2,2240.535,405.273,2323.163,539.524,2281.849,472.399,0.7458,person,far_player,212.546,-1.041
128,player_1,1286.387,1546.292,1469.534,1927.666,1377.96,1736.979,0.6916,person,near_player,67.57,843.561
128,unknown_3,588.274,827.062,853.936,1088.363,721.105,957.712,0.4536,person,far_player,-120.707,496.023
128,unknown_4,1727.24,207.599,1830.643,342.311,1778.941,274.955,0.437,person,far_player,43.265,-270.762
128,unknown_6,1023.889,843.151,1139.455,1005.575,1081.672,924.363,0.3808,person,far_player,-56.587,439.22
128,unknown_7,2143.106,186.379,2209.974,344.788,2176.54,265.584,0.3414,person,far_player,180.601,-277.586
128,unknown_5,2525.089,224.181,2599.675,355.634,2562.382,289.908,0.3348,person,far_player,313.451,-270.133
128,unknown_8,1410.487,168.32,1472.368,333.306,1441.428,250.813,0.2843,person,far_player,-74.452,-276.494
128,unknown_11,405.76,1054.09,524.707,1287.18,465.234,1170.635,0.2817,person,near_player,-139.692,607.268
128,unknown_10,400.813,1040.7,580.097,1289.015,490.455,1164.857,0.2802,person,near_player,-134.705,607.918
128,unknown_12,1917.93,227.947,2003.703,330.946,1960.816,279.447,0.2589,person,far_player,105.147,-294.964
129,player_2,2235.739,400.687,2319.097,545.783,2277.418,473.235,0.7238,person,far_player,211.114,6.699
129,player_1,1287.031,1547.797,1475.941,1927.334,1381.486,1737.565,0.7015,person,near_player,68.067,843.439
129,unknown_4,1726.645,206.85,1830.288,342.051,1778.466,274.45,0.4486,person,far_player,43.069,-271.182
129,unknown_3,588.192,827.364,854.372,1088.233,721.282,957.798,0.4483,person,far_player,-120.691,495.942
129,unknown_6,1023.223,841.957,1140.25,1005.408,1081.737,923.682,0.3824,person,far_player,-56.595,439.109
129,unknown_7,2140.41,186.038,2213.541,346.793,2176.976,266.415,0.3598,person,far_player,180.761,-274.248
129,unknown_5,2525.639,224.395,2599.521,355.407,2562.58,289.901,0.3345,person,far_player,313.544,-270.515
129,unknown_10,400.778,1040.173,580.648,1288.211,490.713,1164.192,0.2908,person,near_player,-134.778,607.519
129,unknown_8,1410.128,167.977,1472.286,333.522,1441.207,250.75,0.2896,person,far_player,-74.479,-276.126
129,unknown_11,405.48,1053.409,525.033,1287.103,465.256,1170.256,0.2839,person,near_player,-139.7,607.229
129,unknown_12,1917.634,227.827,2003.851,330.964,1960.742,279.396,0.27,person,far_player,105.123,-294.931
130,player_2,2240.694,394.306,2317.3,553.842,2278.997,474.074,0.7284,person,far_player,211.427,16.406
130,player_1,1285.009,1546.93,1480.349,1926.393,1382.679,1736.662,0.6778,person,near_player,68.199,843.155
130,unknown_4,1727.0,206.889,1830.385,341.894,1778.693,274.391,0.4551,person,far_player,43.128,-271.45
130,unknown_3,587.905,827.12,854.352,1088.182,721.128,957.651,0.4472,person,far_player,-120.731,495.913
130,unknown_6,1023.008,841.158,1140.058,1005.219,1081.533,923.188,0.3896,person,far_player,-56.664,438.986
130,unknown_7,2139.831,185.723,2213.79,346.484,2176.811,266.103,0.3525,person,far_player,180.702,-274.759
130,unknown_5,2525.789,225.652,2599.542,355.181,2562.666,290.416,0.3258,person,far_player,313.599,-270.892
130,unknown_10,394.293,1049.053,571.108,1302.328,482.701,1175.691,0.2996,person,near_player,-134.139,614.511
130,unknown_11,406.176,1053.84,525.066,1287.935,465.621,1170.888,0.2908,person,near_player,-139.504,607.636
130,unknown_8,1410.259,167.668,1471.878,333.199,1441.069,250.434,0.2886,person,far_player,-74.6,-276.664
130,unknown_12,1917.498,227.634,2003.749,330.982,1960.623,279.308,0.2731,person,far_player,105.082,-294.897
131,player_2,2240.663,394.114,2317.306,553.861,2278.985,473.988,0.7305,person,far_player,211.423,16.429
131,player_1,1284.996,1546.877,1480.273,1926.33,1382.635,1736.603,0.6753,person,near_player,68.19,843.136
131,unknown_4,1727.008,206.912,1830.386,341.894,1778.697,274.403,0.4547,person,far_player,43.13,-271.45
131,unknown_3,587.897,827.12,854.356,1088.176,721.126,957.648,0.4467,person,far_player,-120.733,495.91
131,unknown_6,1023.017,841.188,1140.031,1005.216,1081.524,923.202,0.3907,person,far_player,-56.666,438.984
131,unknown_7,2139.829,185.683,2213.775,346.469,2176.802,266.076,0.3528,person,far_player,180.699,-274.784
131,unknown_5,2525.833,225.648,2599.542,355.184,2562.688,290.416,0.3261,person,far_player,313.606,-270.888
131,unknown_10,394.284,1049.073,571.218,1302.352,482.751,1175.713,0.2986,person,near_player,-134.126,614.522
131,unknown_11,406.223,1053.855,525.035,1287.918,465.629,1170.886,0.2903,person,near_player,-139.505,607.627
131,unknown_8,1410.289,167.699,1471.873,333.185,1441.081,250.442,0.2884,person,far_player,-74.599,-276.688
131,unknown_12,1917.499,227.63,2003.733,330.978,1960.616,279.304,0.2729,person,far_player,105.08,-294.903
132,player_2,2245.378,388.287,2316.248,554.724,2280.813,471.505,0.7328,person,far_player,211.943,17.427
132,player_1,1283.302,1549.305,1481.539,1925.134,1382.421,1737.22,0.7019,person,near_player,68.108,842.786
132,unknown_4,1727.94,207.478,1830.344,341.896,1779.142,274.687,0.4288,person,far_player,43.283,-271.459
132,unknown_3,587.875,826.9,854.272,1087.594,721.074,957.247,0.4244,person,far_player,-120.837,495.559
132,unknown_6,1022.781,840.513,1139.967,1005.463,1081.374,922.988,0.4104,person,far_player,-56.666,439.15
132,unknown_7,2141.415,183.263,2210.977,345.663,2176.196,264.463,0.3305,person,far_player,180.486,-276.113
132,unknown_5,2526.827,226.0,2599.446,354.619,2563.137,290.31,0.3144,person,far_player,313.824,-271.838
132,unknown_8,1410.605,168.191,1471.891,333.183,1441.248,250.687,0.299,person,far_player,-74.542,-276.696
132,unknown_10,394.826,1049.628,564.138,1303.016,479.482,1176.322,0.2956,person,near_player,-134.632,614.877
132,unknown_11,405.978,1054.272,523.988,1288.079,464.983,1171.176,0.2929,person,near_player,-139.601,607.713
132,unknown_12,1917.432,227.58,2003.47,330.801,1960.451,279.19,0.2526,person,far_player,105.01,-295.201
133,player_2,2245.539,388.161,2316.302,554.857,2280.921,471.509,0.7319,person,far_player,211.972,17.585
133,player_1,1283.224,1549.059,1481.566,1925.086,1382.395,1737.073,0.7014,person,near_player,68.102,842.772
133,unknown_4,1728.0,207.584,1830.294,341.835,1779.147,274.709,0.4259,person,far_player,43.277,-271.561
133,unknown_3,587.904,826.801,854.084,1087.74,720.994,957.27,0.4201,person,far_player,-120.83,495.648
133,unknown_6,1022.516,840.818,1139.806,1005.379,1081.161,923.099,0.4149,person,far_player,-56.724,439.097
133,unknown_7,2142.007,182.774,2211.123,345.259,2176.565,264.017,0.3305,person,far_player,180.612,-276.799
133,unknown_5,2526.871,225.9,2599.378,354.052,2563.125,289.976,0.3171,person,far_player,313.883,-272.78
133,unknown_10,394.339,1048.954,563.221,1301.717,478.78,1175.335,0.3081,person,near_player,-134.958,614.252
133,unknown_11,404.851,1053.103,524.033,1288.83,464.442,1170.967,0.2988,person,near_player,-139.586,608.089
133,unknown_8,1410.622,168.293,1471.958,333.31,1441.29,250.802,0.2956,person,far_player,-74.499,-276.484
133,unknown_12,1917.622,227.694,2003.049,330.845,1960.336,279.27,0.2535,person,far_player,104.973,-295.122
134,player_2,2259.074,384.56,2318.502,553.559,2288.788,469.059,0.7498,person,far_player,214.306,15.862
134,player_1,1285.822,1549.083,1490.822,1926.236,1388.322,1737.659,0.7403,person,near_player,69.01,843.07
134,unknown_6,1022.221,840.103,1140.036,1005.455,1081.129,922.779,0.4224,person,far_player,-56.72,439.147
134,unknown_4,1729.193,208.468,1829.737,341.671,1779.465,275.07,0.4037,person,far_player,43.366,-271.843
134,unknown_3,587.713,826.5,853.95,1087.906,720.832,957.203,0.3996,person,far_player,-120.837,495.75
134,unknown_7,2142.683,185.827,2210.638,343.318,2176.661,264.572,0.3078,person,far_player,180.636,-280.053
134,unknown_5,2527.443,226.621,2599.129,354.157,2563.286,290.389,0.3035,person,far_player,313.927,-272.61
134,unknown_10,394.328,1049.015,563.549,1300.992,478.939,1175.003,0.3022,person,near_player,-135.038,613.898
134,unknown_8,1410.224,168.244,1472.068,333.315,1441.146,250.78,0.2934,person,far_player,-74.547,-276.472
134,unknown_11,405.158,1053.324,524.076,1288.386,464.617,1170.855,0.2863,person,near_player,-139.622,607.868
135,player_1,1286.011,1557.912,1494.865,1927.908,1390.438,1742.91,0.7776,person,near_player,69.387,843.548
135,player_2,2261.581,380.744,2319.822,554.194,2290.701,467.469,0.7562,person,far_player,214.854,16.585
